date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:55:09	930/930	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Dec%202025%2000:55:09%20GMT	https://www.pisecurepay.com/legal-info	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/legal-info	(from https://www.pisecurepay.com/)
01:55:27	2676067/2676067	---M--	200	added ('OK')	video/mp4	date:Tue,%2026%20Aug%202025%2023:10:08%20GMT	https://www.pisecurepay.com/video/medium.mp4	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/video/medium.mp4	(from https://www.pisecurepay.com/)
01:56:00	5832/5832	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/imge2.jpg	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/imge2.jpg	(from https://www.pisecurepay.com/)
01:56:02	6599/6599	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/imge3.jpg	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/imge3.jpg	(from https://www.pisecurepay.com/)
01:56:03	4254/4254	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/imge4.jpg	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/imge4.jpg	(from https://www.pisecurepay.com/)
01:56:04	7183/7183	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/imge5.jpg	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/imge5.jpg	(from https://www.pisecurepay.com/)
01:56:04	4571/4571	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/jenny.jpg	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/jenny.jpg	(from https://www.pisecurepay.com/)
01:56:05	6667/6667	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/mike.jpg	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/mike.jpg	(from https://www.pisecurepay.com/)
01:56:05	6693/6693	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/kathy.jpg	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/kathy.jpg	(from https://www.pisecurepay.com/)
01:56:06	60248/60248	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:56:05%20GMT	https://www.pisecurepay.com/for-traders	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/for-traders.html	(from https://www.pisecurepay.com/)
01:56:06	67260/67260	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:56:06%20GMT	https://www.pisecurepay.com/contacts	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/contacts.html	(from https://www.pisecurepay.com/)
01:56:07	67260/67260	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:56:06%20GMT	https://www.pisecurepay.com/contact	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/contact.html	(from https://www.pisecurepay.com/)
01:56:07	52863/52863	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:56:07%20GMT	https://www.pisecurepay.com/terms	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/terms.html	(from https://www.pisecurepay.com/)
01:56:08	53173/53173	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:56:07%20GMT	https://www.pisecurepay.com/privacy	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/privacy.html	(from https://www.pisecurepay.com/)
01:56:09	14690/14690	---M-Z	200	added ('OK')	application/javascript	etag:W/%223962-hQ7i5cn7phCEATfGxOkrWrvEKP4%22	https://cdn.jsdelivr.net/npm/aos@2.3.4/dist/aos.js	C:/My%20Web%20Sites/exchange/cdn.jsdelivr.net/npm/aos@2.3.4/dist/aos.js	(from https://www.pisecurepay.com/)
01:56:10	18141/18141	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268e92f38-46dd%22	https://www.smartsuppchat.com/loader.js?	C:/My%20Web%20Sites/exchange/www.smartsuppchat.com/loaderd41d.js	(from https://www.pisecurepay.com/)
01:56:10	487/487	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2023%20Dec%202025%2000:56:10%20GMT	https://www.pisecurepay.com/%e2%80%9chttps://www.smartsupp.com%e2%80%9d	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/%e2%80%9chttps_/www.smartsupp.com%e2%80%9d	(from https://www.pisecurepay.com/)
01:56:11	23033/23033	---MCZ	200	added ('OK')	application/javascript	etag:W/%226763547c-59f9%22	https://cdn.gtranslate.net/widgets/latest/float.js	C:/My%20Web%20Sites/exchange/cdn.gtranslate.net/widgets/latest/float.js	(from https://www.pisecurepay.com/)
01:56:11	32114/32114	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Sep%202025%2017:54:12%20GMT	https://www.pisecurepay.com/storage/app/public/photos/4zkYusmQPvDz9FMoZHFYWINNZ00mnyHoSq84251D.png	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/storage/app/public/photos/4zkYusmQPvDz9FMoZHFYWINNZ00mnyHoSq84251D.png	(from https://www.pisecurepay.com/login)
01:56:12	45764/45764	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b2c4-uk/I2ZgepiyjCdtTMzHZ5iXjs0E%22	https://cdn.jsdelivr.net/npm/alpinejs@3.x.x/dist/cdn.min.js	C:/My%20Web%20Sites/exchange/cdn.jsdelivr.net/npm/alpinejs@3.x.x/dist/cdn.min.js	(from https://www.pisecurepay.com/login)
01:56:12	49/49	---M--	302	error ('Found')	text/plain	date:Tue,%2023%20Dec%202025%2000:56:12%20GMT	https://unpkg.com/lucide@latest/dist/umd/lucide.js	C:/My%20Web%20Sites/exchange/unpkg.com/lucide@latest/dist/umd/lucide.23.delayed	(from https://www.pisecurepay.com/login)
01:56:13	579281/579281	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2018%20Dec%202025%2010:46:44%20GMT	https://unpkg.com/lucide@0.562.0/dist/umd/lucide.js	C:/My%20Web%20Sites/exchange/unpkg.com/lucide@0.562.0/dist/umd/lucide.js	(from https://www.pisecurepay.com/login)
01:56:13	935/935	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Dec%202025%2000:56:13%20GMT	https://www.pisecurepay.com/temp/custom/css/bootstrap.min.css	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/css/bootstrap.min.css	(from https://www.pisecurepay.com/login)
01:56:14	935/935	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Dec%202025%2000:56:14%20GMT	https://www.pisecurepay.com/temp/custom/js/jquery.min.js	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/js/jquery.min.js	(from https://www.pisecurepay.com/login)
01:56:14	935/935	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Dec%202025%2000:56:14%20GMT	https://www.pisecurepay.com/temp/custom/js/popper.min.js	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/js/popper.min.js	(from https://www.pisecurepay.com/login)
01:56:15	935/935	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Dec%202025%2000:56:15%20GMT	https://www.pisecurepay.com/temp/custom/js/bootstrap.min.js	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/js/bootstrap.min.js	(from https://www.pisecurepay.com/login)
01:56:15	935/935	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Dec%202025%2000:56:15%20GMT	https://www.pisecurepay.com/temp/custom/css/main.css	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/css/main.css	(from https://www.pisecurepay.com/login)
01:56:16	935/935	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Dec%202025%2000:56:16%20GMT	https://www.pisecurepay.com/temp/custom/js/manifest.json	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/js/manifest.json	(from https://www.pisecurepay.com/login)
01:56:17	22181/22181	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:56:16%20GMT	https://www.pisecurepay.com/forgot-password	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/forgot-password.html	(from https://www.pisecurepay.com/login)
01:56:17	938/938	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Dec%202025%2000:56:17%20GMT	https://www.pisecurepay.com/rules	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/rules	(from https://www.pisecurepay.com/register)
01:56:18	1587/1587	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Dec%202025%2000:56:18%20GMT	https://translate.google.com/translate_a/elementa0d8.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/exchange/translate.google.com/translate_a/elementa0d8.2da0d8.delayed	(from https://www.pisecurepay.com/register)
01:56:18	47/47	---M--	302	error ('Found')	text/plain	date:Tue,%2023%20Dec%202025%2000:56:18%20GMT	https://unpkg.com/alpinejs@3.x.x/dist/cdn.min.js	C:/My%20Web%20Sites/exchange/unpkg.com/alpinejs@3.x.x/dist/cdn.min.js	(from https://www.pisecurepay.com/trade)
01:56:19	45764/45764	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2016%20Dec%202025%2019:57:50%20GMT	https://unpkg.com/alpinejs@3.15.3/dist/cdn.min.js	C:/My%20Web%20Sites/exchange/unpkg.com/alpinejs@3.15.3/dist/cdn.min.js	(from https://www.pisecurepay.com/trade)
01:56:20	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/My%20Web%20Sites/exchange/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://www.pisecurepay.com/trade)
01:56:21	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/exchange/code.jquery.com/jquery-3.6.0.min.js	(from https://www.pisecurepay.com/trade)
01:56:23	58682/58682	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:56:23%20GMT	https://www.pisecurepay.com/cryptocurrencies	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/cryptocurrencies.html	(from https://www.pisecurepay.com/trade)
01:56:24	110459/110459	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:56:23%20GMT	https://www.pisecurepay.com/forex	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/forex.html	(from https://www.pisecurepay.com/trade)
01:56:26	48876/48876	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:56:25%20GMT	https://www.pisecurepay.com/shares	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/shares.html	(from https://www.pisecurepay.com/trade)
01:56:27	73059/73059	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:56:27%20GMT	https://www.pisecurepay.com/indices	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/indices.html	(from https://www.pisecurepay.com/trade)
01:56:28	66458/66458	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:56:27%20GMT	https://www.pisecurepay.com/etfs	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/etfs.html	(from https://www.pisecurepay.com/trade)
01:56:28	48270/48270	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:56:28%20GMT	https://www.pisecurepay.com/regulation	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/regulation.html	(from https://www.pisecurepay.com/trade)
01:56:29	242588/242588	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/img/commission-scheme-crypt1t.png	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/img/commission-scheme-crypt1t.png	(from https://www.pisecurepay.com/trade)
01:56:29	28026/28026	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/img/users.png	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/img/users.png	(from https://www.pisecurepay.com/about)
01:56:29	13608/13608	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/img/website.png	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/img/website.png	(from https://www.pisecurepay.com/about)
01:56:30	10910/10910	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/img/speed.png	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/img/speed.png	(from https://www.pisecurepay.com/about)
01:56:30	42855/42855	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/img/1497835.png	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/img/1497835.png	(from https://www.pisecurepay.com/about)
01:56:35	306232/306232	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/img/commission-scheme-crypt1d.png	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/img/commission-scheme-crypt1d.png	(from https://www.pisecurepay.com/about)
01:56:36	408696/408696	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/img/abt.png	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/img/abt.png	(from https://www.pisecurepay.com/about)
01:56:37	5917/5917	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/imge1.jpg	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/imge1.jpg	(from https://www.pisecurepay.com/)
01:56:59	69679/69679	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/dash/tether-usdt-logo.png	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/dash/tether-usdt-logo.png	(from https://www.pisecurepay.com/cryptocurrencies)
01:57:01	52863/52863	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Dec%202025%2000:57:01%20GMT	https://www.pisecurepay.com/trading-conditions	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/trading-conditions.html	(from https://www.pisecurepay.com/shares)
01:57:04	447025/447025	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/temp/custom/img/commission-scheme-crypt1t1.png	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/temp/custom/img/commission-scheme-crypt1t1.png	(from https://www.pisecurepay.com/cryptocurrencies)
01:57:04	87786/87786	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/dash/bitcoin-btc-logo.png	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/dash/bitcoin-btc-logo.png	(from https://www.pisecurepay.com/cryptocurrencies)
01:57:05	160579/160579	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Aug%202025%2012:21:12%20GMT	https://www.pisecurepay.com/dash/ethereum-eth-logo.png	C:/My%20Web%20Sites/exchange/www.pisecurepay.com/dash/ethereum-eth-logo.png	(from https://www.pisecurepay.com/cryptocurrencies)
